method	path	handler	auth	source	migration_category	dynamic	transport
GET	/antigravity/models	h.Gateway.AntigravityModels	API key + assigned group	backend/internal/server/routes/gateway.go:255	gateway/antigravity	no	http
POST	/antigravity/v1/messages	h.Gateway.Messages	API key + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:267	gateway/antigravity	no	http/sse-when-streaming
POST	/antigravity/v1/messages/count_tokens	h.Gateway.CountTokens	API key + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:268	gateway/antigravity	no	http
GET	/antigravity/v1/models	h.Gateway.AntigravityModels	API key + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:269	gateway/antigravity	no	http
GET	/antigravity/v1/usage	h.Gateway.Usage	API key + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:270	gateway/antigravity	no	http
GET	/antigravity/v1beta/models	h.Gateway.GeminiV1BetaListModels	Google API key + subscription + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:282	gateway/gemini-native	no	http
POST	/antigravity/v1beta/models/*modelAction	h.Gateway.GeminiV1BetaModels	Google API key + subscription + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:284	gateway/gemini-native	yes	http/sse-when-streaming
GET	/antigravity/v1beta/models/:model	h.Gateway.GeminiV1BetaGetModel	Google API key + subscription + assigned group + forced antigravity platform	backend/internal/server/routes/gateway.go:283	gateway/gemini-native	yes	http
POST	/api/event_logging/batch	inline:eventLoggingNoop	public	backend/internal/server/routes/common.go:17	common/health-control	no	http
GET	/api/v1/admin/accounts	h.Admin.Account.List	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:297	admin/accounts	no	http
POST	/api/v1/admin/accounts	h.Admin.Account.Create	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:299	admin/accounts	no	http
DELETE	/api/v1/admin/accounts/:id	h.Admin.Account.Delete	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:305	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id	h.Admin.Account.GetByID	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:298	admin/accounts	yes	http
PUT	/api/v1/admin/accounts/:id	h.Admin.Account.Update	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:304	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/apply-oauth-credentials	h.Admin.Account.ApplyOAuthCredentials	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:309	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/clear-error	h.Admin.Account.ClearError	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:313	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/clear-rate-limit	h.Admin.Account.ClearRateLimit	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:318	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/models	h.Admin.Account.GetAvailableModels	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:324	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/models/sync-upstream	h.Admin.Account.SyncUpstreamModels	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:325	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/recover-state	h.Admin.Account.RecoverState	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:307	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/refresh	h.Admin.Account.Refresh	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:308	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/refresh-tier	h.Admin.Account.RefreshTier	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:311	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/reset-quota	h.Admin.Account.ResetQuota	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:319	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/revert-proxy-fallback	h.Admin.Account.RevertProxyFallback	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:314	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/schedulable	h.Admin.Account.SetSchedulable	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:322	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/scheduled-test-plans	h.Admin.ScheduledTest.ListByAccount	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:612	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/set-privacy	h.Admin.Account.SetPrivacy	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:310	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/shadow	h.Admin.OpenAIOAuth.CreateShadow	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:339	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/stats	h.Admin.Account.GetStats	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:312	admin/accounts	yes	http
DELETE	/api/v1/admin/accounts/:id/temp-unschedulable	h.Admin.Account.ClearTempUnschedulable	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:321	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/temp-unschedulable	h.Admin.Account.GetTempUnschedulable	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:320	admin/accounts	yes	http
POST	/api/v1/admin/accounts/:id/test	h.Admin.Account.Test	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:306	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/today-stats	h.Admin.Account.GetTodayStats	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:316	admin/accounts	yes	http
GET	/api/v1/admin/accounts/:id/usage	h.Admin.Account.GetUsage	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:315	admin/accounts	yes	http
GET	/api/v1/admin/accounts/antigravity/default-model-mapping	h.Admin.Account.GetAntigravityDefaultModelMapping	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:336	admin/accounts	no	http
POST	/api/v1/admin/accounts/batch	h.Admin.Account.BatchCreate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:326	admin/accounts	no	http
POST	/api/v1/admin/accounts/batch-clear-error	h.Admin.Account.BatchClearError	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:332	admin/accounts	no	http
POST	/api/v1/admin/accounts/batch-refresh	h.Admin.Account.BatchRefresh	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:333	admin/accounts	no	http
POST	/api/v1/admin/accounts/batch-refresh-tier	h.Admin.Account.BatchRefreshTier	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:330	admin/accounts	no	http
POST	/api/v1/admin/accounts/batch-update-credentials	h.Admin.Account.BatchUpdateCredentials	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:329	admin/accounts	no	http
POST	/api/v1/admin/accounts/bulk-update	h.Admin.Account.BulkUpdate	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:331	admin/accounts	no	http
POST	/api/v1/admin/accounts/check-mixed-channel	h.Admin.Account.CheckMixedChannel	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:300	admin/accounts	no	http
POST	/api/v1/admin/accounts/cookie-auth	h.Admin.OAuth.CookieAuth	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:346	admin/accounts	no	http
GET	/api/v1/admin/accounts/data	h.Admin.Account.ExportData	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:327	admin/accounts	no	http
POST	/api/v1/admin/accounts/data	h.Admin.Account.ImportData	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:328	admin/accounts	no	http
POST	/api/v1/admin/accounts/exchange-code	h.Admin.OAuth.ExchangeCode	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:344	admin/accounts	no	http
POST	/api/v1/admin/accounts/exchange-setup-token-code	h.Admin.OAuth.ExchangeSetupTokenCode	admin JWT + AdminComplianceGuard	backend/internal/server/routes/admin.go:345	admin/accounts	no	http
